,SOS_no_lag,EOS_no_lag,lag_CHIRPS,lag_WRF,lag_AWS
2000,105.0,302.0,41.0,37,41
2001,68.0,303.0,29.0,26,29
2002,56.0,306.0,33.0,23,39
2003,90.0,299.0,39.0,25,38
2004,53.0,289.0,19.0,18,24
2005,110.0,300.0,31.0,30,22
2006,79.0,305.0,30.0,33,27
2007,82.0,299.0,30.0,30,31
2008,66.0,307.0,32.0,22,27
2009,67.0,300.0,29.0,21,36
2010,86.0,303.0,37.0,35,38
2011,88.0,308.0,35.0,38,39
2012,59.0,302.0,20.0,17,28
2013,70.0,307.0,27.0,26,27
2014,86.0,309.0,35.0,26,29
2015,74.0,294.0,20.0,21,29
2016,113.0,317.0,41.0,42,35
2017,85.0,314.0,40.0,34,27
